Matchs ;Taux de reussite :;100%;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;total;win ;lose ;86m30
;;;;;;
;;;19;19;0;0
;;;;;;
13/08/2025;Mauritania;BurkinaFaso;1;1;;
13/08/2025;TermezSurkhon;FCBunyodkor;1;1;;
13/08/2025;MagesiFC;StellenboschFC;1;1;;
12/08/2025;BanburyUnited;Worcester;1;1;;
12/08/2025;BuryTown;RoystonTown;1;1;;
12/08/2025;Gillingham;AFCWimbledon;1;1;;
12/08/2025;MarumoGallants;OrlandoPirates;1;1;;
12/08/2025;Sudan;Nigeria;1;1;;
11/08/2025;Uganda;Niger;1;1;;
11/08/2025;ZoryaLuhansk;KudrivkaNyva;1;1;;
10/08/2025;ChacoForEver;GimnasiadeMendoza;1;1;;
10/08/2025;DeportesConcepci?n;Curic?Unido;1;1;;
10/08/2025;EnvigadoFC;JuniordeBarranquilla;1;1;;
10/08/2025;FCSportistSvoge;LudogoretsB;1;1;;
10/08/2025;MiramarMisiones;Liverpool(URU);1;1;;
10/08/2025;PolissyaZhytomyr;KolosKovalivka;1;1;;
10/08/2025;RotorVolgograd;FCUfa;1;1;;
10/08/2025;VegaltaSendai;TokushimaVortis;1;1;;
10/08/2025;Zambia;Angola;1;1;;
